cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,dwh_create_date
11000,AW00011000,Jon,Yang,Married,Male,2025-10-06,2024-12-30 14:06:36.9300000
11001,AW00011001,Eugene,Huang,Single,Male,2025-10-06,2024-12-30 14:06:36.9300000
11002,AW00011002,Ruben,Torres,Married,Male,2025-10-06,2024-12-30 14:06:36.9300000
11003,AW00011003,Christy,Zhu,Single,Female,2025-10-06,2024-12-30 14:06:36.9300000
11004,AW00011004,Elizabeth,Johnson,Single,Female,2025-10-06,2024-12-30 14:06:36.9300000
11005,AW00011005,Julio,Ruiz,Single,Male,2025-10-06,2024-12-30 14:06:36.9300000
11006,AW00011006,Janet,Alvarez,Single,Female,2025-10-06,2024-12-30 14:06:36.9300000
11007,AW00011007,Marco,Mehta,Married,Male,2025-10-06,2024-12-30 14:06:36.9300000
11008,AW00011008,Rob,Verhoff,Single,Female,2025-10-06,2024-12-30 14:06:36.9300000
11009,AW00011009,Shannon,Carlson,Single,Male,2025-10-06,2024-12-30 14:06:36.9300000
11010,AW00011010,Jacquelyn,Suarez,Single,Female,2025-10-06,2024-12-30 14:06:36.9300000
11011,AW00011011,Curtis,Lu,Married,Male,2025-10-06,2024-12-30 14:06:36.9300000
11012,AW00011012,Lauren,Walker,Married,Female,2025-10-06,2024-12-30 14:06:36.9300000
11013,AW00011013,Ian,Jenkins,Married,Male,2025-10-06,2024-12-30 14:06:36.9300000
11014,AW00011014,Sydney,Bennett,Single,Female,2025-10-06,2024-12-30 14:06:36.9300000
11015,AW00011015,Chloe,Young,Single,Female,2025-10-06,2024-12-30 14:06:36.9300000
11016,AW00011016,Wyatt,Hill,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11017,AW00011017,Shannon,Wang,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11018,AW00011018,Clarence,Rai,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11019,AW00011019,Luke,Lal,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11020,AW00011020,Jordan,King,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11021,AW00011021,Destiny,Wilson,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11022,AW00011022,Ethan,Zhang,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11023,AW00011023,Seth,Edwards,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11024,AW00011024,Russell,Xie,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11025,AW00011025,Alejandro,Beck,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11026,AW00011026,Harold,Sai,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11027,AW00011027,Jessie,Zhao,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11028,AW00011028,Jill,Jimenez,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11029,AW00011029,Jimmy,Moreno,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11030,AW00011030,Bethany,Yuan,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11031,AW00011031,Theresa,Ramos,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11032,AW00011032,Denise,Stone,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11033,AW00011033,Jaime,Nath,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11034,AW00011034,Ebony,Gonzalez,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11035,AW00011035,Wendy,Dominguez,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11036,AW00011036,Jennifer,Russell,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11037,AW00011037,Chloe,Garcia,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11038,AW00011038,Diana,Hernandez,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11039,AW00011039,Marc,Martin,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11040,AW00011040,Jesse,Murphy,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11041,AW00011041,Amanda,Carter,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11042,AW00011042,Megan,Sanchez,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11043,AW00011043,Nathan,Simmons,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11044,AW00011044,Adam,Flores,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11045,AW00011045,Leonard,Nara,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11046,AW00011046,Christine,Yuan,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11047,AW00011047,Jaclyn,Lu,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11048,AW00011048,Jeremy,Powell,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11049,AW00011049,Carol,Rai,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11050,AW00011050,Alan,Zheng,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11051,AW00011051,Daniel,Johnson,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11052,AW00011052,Heidi,Lopez,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11053,AW00011053,Ana,Price,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11054,AW00011054,Deanna,Munoz,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11055,AW00011055,Gilbert,Raje,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11056,AW00011056,Michele,Nath,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11057,AW00011057,Carl,Andersen,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11058,AW00011058,Marc,Diaz,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11059,AW00011059,Ashlee,Andersen,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11060,AW00011060,Jon,Zhou,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11061,AW00011061,Todd,Gao,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11062,AW00011062,Noah,Powell,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11063,AW00011063,Angela,Murphy,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11064,AW00011064,Chase,Reed,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11065,AW00011065,Jessica,Henderson,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11066,AW00011066,Grace,Butler,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11067,AW00011067,Caleb,Carter,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11068,AW00011068,Tiffany,Liang,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11069,AW00011069,Carolyn,Navarro,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11070,AW00011070,Willie,Raji,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11071,AW00011071,Linda,Serrano,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11072,AW00011072,Casey,Luo,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11073,AW00011073,Amy,Ye,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11074,AW00011074,Levi,Arun,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11075,AW00011075,Felicia,Jimenez,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11076,AW00011076,Blake,Anderson,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11077,AW00011077,Leah,Ye,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11078,AW00011078,Gina,Martin,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11079,AW00011079,Donald,Gonzalez,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11080,AW00011080,Damien,Chander,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11081,AW00011081,Savannah,Baker,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11082,AW00011082,Angela,Butler,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11083,AW00011083,Alyssa,Cox,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11084,AW00011084,Lucas,Phillips,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11085,AW00011085,Emily,Johnson,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11086,AW00011086,Ryan,Brown,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11087,AW00011087,Tamara,Liang,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11088,AW00011088,Hunter,Davis,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11089,AW00011089,Abigail,Price,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11090,AW00011090,Trevor,Bryant,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11091,AW00011091,Dalton,Perez,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11092,AW00011092,Cheryl,Diaz,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11093,AW00011093,Aimee,He,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11094,AW00011094,Cedric,Ma,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11095,AW00011095,Chad,Kumar,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11096,AW00011096,Andr├®s,Anand,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11097,AW00011097,Edwin,Nara,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11098,AW00011098,Mallory,Rubio,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11099,AW00011099,Adam,Ross,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11100,AW00011100,Latasha,Navarro,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11101,AW00011101,Abby,Sai,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11102,AW00011102,Julia,Nelson,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11103,AW00011103,Cassie,Chande,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11104,AW00011104,Edgar,Sara,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11105,AW00011105,Candace,Fernandez,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11106,AW00011106,Jessie,Liu,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11107,AW00011107,Bianca,Lin,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11108,AW00011108,Kari,Alvarez,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11109,AW00011109,Ruben,Kapoor,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11110,AW00011110,Curtis,Yang,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11111,AW00011111,Meredith,Gutierrez,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11112,AW00011112,Crystal,Wang,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11113,AW00011113,Micheal,Blanco,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11114,AW00011114,Leslie,Moreno,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11115,AW00011115,Alvin,Cai,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11116,AW00011116,Clinton,Carlson,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11117,AW00011117,April,Deng,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11118,AW00011118,Alvin,Zeng,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11119,AW00011119,Evan,James,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11120,AW00011120,Beth,Jim├®nez,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
